 Point_source             
  SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
     1     1     1  2025     345    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     346    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     347    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     348    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     349    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     350    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     351    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     352    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     355    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     360    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     361    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     363    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     364    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     365    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     366    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     367    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     368    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     369    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     376    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     377    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     382    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     383    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     387    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     389    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     390    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     391    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     396    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     397    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     406    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     407    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     410    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     413    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     417    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     419    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     421    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     425    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     426    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     428    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     429    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     430    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     432    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     438    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     439    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     440    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     441    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     445    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     447    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     448    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     449    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     450    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     451    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     452    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     453    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     454    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     455    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     456    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     457    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     458    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     459    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     460    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     461    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     463    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     466    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     468    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     476    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     477    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     479    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     480    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     481    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     484    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     485    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     486    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     488    frsd                        0.000       0.000       0.000       0.000
     1     1     1  2025     489    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     490    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     491    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     492    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     493    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     495    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     497    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     498    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     499    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     500    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     501    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     502    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     503    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     504    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     505    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     506    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     507    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     508    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     509    agrr                        0.000       0.000       0.000       0.000
     1     1     1  2025     510    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     511    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     512    hay                         0.000       0.000       0.000       0.000
     1     1     1  2025     513    hay                         0.000       0.000       0.000       0.000
