 Point_source              SWAT+ Jun 17 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor      n_tot          p_tot         dep_bf        velav_bf        
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons       kg_N           kg_P            m/s             m/s        
     1     1     1  2025      13      13  cha013               0.6947E-03     0.0000E+00     0.6931E-03     0.4529E-02     0.1293E-08     0.1285E-08     0.1285E-08     0.7536E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2996E+00     0.4912E-01     0.1674E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.6838E+00     0.0000E+00     0.6823E+00     0.3676E-10     0.8297E-02     0.1547E-02     0.4912E-01     0.0000E+00
     1     1     1  2025      14      14  cha014               0.3285E-08     0.0000E+00     0.0000E+00     0.3370E-07     0.1165E-08     0.1561E-03     0.1561E-03     0.2145E-12     0.0000E+00     0.0000E+00     0.1561E-03     0.0000E+00     0.1065E+00     0.2464E-01     0.2946E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1814E-04     0.0000E+00     0.0000E+00     0.5355E-12     0.5002E-05     0.3743E-08     0.2464E-01     0.0000E+00
     1     1     1  2025      15      15  cha015               0.1674E-01     0.0000E+00     0.1674E-01     0.1440E+00     0.6521E-02     0.4846E-02     0.4846E-02     0.2397E-03     0.1436E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1579E+00     0.3204E-01     0.6220E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.4795E+02     0.0000E+00     0.4795E+02     0.3519E-04     0.6439E-01     0.1518E-01     0.3204E-01     0.0000E+00
     1     1     1  2025      16      16  cha016               0.1176E-01     0.0000E+00     0.1176E-01     0.9522E-01     0.1000E-08     0.1927E-01     0.1927E-01     0.9221E-12     0.0000E+00     0.0000E+00     0.1927E-01     0.0000E+00     0.1813E+00     0.3514E-01     0.6280E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2675E+02     0.0000E+00     0.2675E+02     0.5625E-11     0.4941E-01     0.1364E-01     0.3514E-01     0.0000E+00
     1     1     1  2025      17      17  cha017               0.3674E-02     0.0000E+00     0.3674E-02     0.3556E-01     0.1161E-08     0.1536E-01     0.1536E-01     0.3244E-11     0.0000E+00     0.0000E+00     0.1536E-01     0.0000E+00     0.1212E+00     0.2687E-01     0.1760E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1635E+02     0.0000E+00     0.1635E+02     0.1394E-10     0.1984E-01     0.5236E-02     0.2687E-01     0.0000E+00
     1     1     1  2025      18      18  cha018               0.1798E-01     0.0000E+00     0.1797E-01     0.1517E+00     0.1397E-01     0.1031E-01     0.1031E-01     0.2473E-03     0.3408E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1649E+00     0.3299E-01     0.3049E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.4787E+02     0.0000E+00     0.4787E+02     0.1111E-03     0.8939E-01     0.1889E-01     0.3299E-01     0.0000E+00
     1     1     1  2025      19      19  cha019               0.1286E-01     0.0000E+00     0.1286E-01     0.1104E+00     0.7723E-01     0.6314E-01     0.6314E-01     0.6247E-03     0.1347E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1589E+00     0.3218E-01     0.2449E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.3646E+02     0.0000E+00     0.3646E+02     0.4316E-03     0.2798E+00     0.5185E-01     0.3218E-01     0.0000E+00
     1     1     1  2025      20      20  cha020               0.1183E+01     0.0000E+00     0.1183E+01     0.1133E+02     0.1141E-08     0.7877E-09     0.7877E-09     0.3518E-09     0.1736E-11     0.0000E+00     0.0000E+00     0.0000E+00     0.1242E+00     0.2731E-01     0.1000E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.5055E+04     0.0000E+00     0.5055E+04     0.4225E-13     0.2344E-01     0.7673E-02     0.2731E-01     0.0000E+00
     1     1     1  2025      21      21  cha021               0.1458E+01     0.0000E+00     0.1458E+01     0.5795E+01     0.2837E+00     0.2688E+00     0.2688E+00     0.2455E-02     0.1237E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.1031E+01     0.1120E+00     0.2740E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1829E+03     0.0000E+00     0.1829E+03     0.8791E-04     0.2099E+01     0.4445E+00     0.1120E+00     0.0000E+00
     1     1     1  2025      22      22  cha022               0.1443E+01     0.0000E+00     0.1443E+01     0.5985E+01     0.2732E+00     0.2516E+00     0.2516E+00     0.5908E-02     0.1574E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.9211E+00     0.1038E+00     0.1200E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.2185E+03     0.0000E+00     0.2185E+03     0.1178E-03     0.2001E+01     0.4241E+00     0.1038E+00     0.0000E+00
